,index,year_round,lat_round2,lon_round2,depth,D14C,associated_lat,associated_lon,ECCO_value
61,1024,1957,-45.4,300.78,0.0,-78.0,-45.69465255737305,301.70001220703125,-78.16487884521484
62,1025,1957,-42.72,263.9,0.0,-26.0,-43.10301971435547,262.1000061035156,-47.68449020385742
63,1026,1957,-41.25,353.83,0.0,-59.0,-40.42521667480469,352.1000061035156,-51.64337158203125
64,1027,1957,-41.08,308.85,0.0,-74.0,-40.42521667480469,308.8999938964844,-48.23273468017578
65,1028,1957,-40.9,339.52,0.0,-58.0,-40.42521667480469,341.29998779296875,-53.30204772949219
66,1029,1957,-40.72,303.47,0.0,-79.0,-40.42521667480469,301.70001220703125,-62.217830657958984
67,1030,1957,-39.05,318.2,0.0,-54.0,-37.68043899536133,319.70001220703125,-44.474185943603516
68,1031,1957,-34.83,224.12,0.0,-16.0,-34.896331787109375,222.5,-32.86427307128906
69,1032,1957,-34.77,6.48,0.0,-42.0,-34.896331787109375,6.5,-45.06874084472656
70,1033,1957,-32.22,16.33,0.0,-51.0,-32.10926055908203,17.299999237060547,-44.9197883605957
71,1034,1957,-25.52,12.43,0.0,-60.0,-26.701988220214844,13.699999809265137,-47.72943115234375
72,1035,1957,-23.2,322.37,0.0,-39.0,-24.17027473449707,323.29998779296875,-35.782039642333984
73,1037,1957,-22.0,153.0,0.0,-51.2,-21.80089569091797,154.10000610351562,-45.16094970703125
74,1038,1957,-21.23,200.18,18.0,-45.75,-21.80089569091797,200.89999389648438,-40.237247467041016
75,1039,1957,-17.82,329.27,0.0,-56.0,-17.619958877563477,330.5,-38.75774002075195
76,1041,1957,-14.5,7.57,0.0,-58.0,-14.183194160461426,6.5,-50.21208572387695
77,1042,1957,-10.98,327.53,0.0,-52.0,-11.389202117919922,326.8999938964844,-36.154151916503906
78,1043,1957,-9.63,325.92,0.0,-56.0,-9.09841251373291,326.8999938964844,-36.30292510986328
79,1044,1957,-9.53,160.2,0.0,-31.4,-9.09841251373291,161.3000030517578,-50.787864685058594
80,1045,1957,-9.0,160.0,14.0,-57.33333333,-9.09841251373291,161.3000030517578,-50.787864685058594
81,1046,1957,-7.0,228.0,0.0,-38.0,-7.181866645812988,229.6999969482422,-58.87126922607422
82,1047,1957,-5.68,10.65,0.0,-68.0,-5.535768032073975,10.100000381469727,-52.507102966308594
83,1048,1957,-4.48,325.1,0.0,-73.0,-4.788410186767578,326.8999938964844,-40.28910446166992
84,1050,1957,-0.5,166.0,14.0,-59.6,-0.3001483976840973,164.89999389648438,-50.723968505859375
85,1051,1957,-0.5,270.0,1.0,-69.66666667,-0.3001483976840973,269.29998779296875,-63.282012939453125
86,1053,1957,0.85,327.13,49.0,-76.0,0.8995895385742188,326.8999938964844,-44.06732177734375
87,1054,1957,5.0,230.0,0.0,-6.0,4.794660568237305,229.70150756835938,-59.442161560058594
88,1055,1957,15.05,320.2,0.0,-47.0,15.476921081542969,319.70184326171875,-32.929779052734375
89,1056,1957,19.58,235.0,0.0,-26.0,20.129465103149414,233.42784118652344,-39.37345886230469
90,1057,1957,25.7,280.62,0.0,-44.0,26.205509185791016,280.32049560546875,-34.94769287109375
91,1058,1957,27.57,300.37,25.0,-33.0,28.191986083984375,301.8503112792969,-31.41188621520996
92,1059,1957,29.22,299.5,46.0,-33.0,28.249656677246094,298.27691650390625,-31.89629364013672
93,1060,1957,29.95,298.32,0.0,-34.0,30.63460350036621,298.337646484375,-34.03669738769531
94,1061,1957,34.08,295.0,0.0,-54.0,33.07000732421875,294.8597717285156,-35.035728454589844
95,1062,1957,50.22,182.3,0.0,-72.0,51.75613784790039,181.2869415283203,-60.334205627441406
96,1063,1957,50.7,182.72,0.0,-81.0,51.75613784790039,181.2869415283203,-60.334205627441406
97,1064,1958,-57.12,352.75,0.0,-120.0,-57.08583450317383,352.1000061035156,-114.87793731689453
98,1065,1958,-55.45,302.83,0.0,-111.0,-55.0246467590332,301.70001220703125,-75.76126098632812
99,1066,1958,-51.45,2.63,0.0,-88.0,-50.57574462890625,2.9000000953674316,-80.52361297607422
100,1067,1958,-46.5,244.0,0.0,-60.0,-45.69465255737305,244.10000610351562,-46.34564971923828
101,1068,1958,-42.72,264.0,0.0,-62.0,-43.10301971435547,265.70001220703125,-39.23493576049805
102,1069,1958,-34.83,224.12,0.0,-38.0,-34.896331787109375,222.5,-25.327146530151367
103,1070,1958,-34.1,18.1,0.0,-56.0,-34.896331787109375,17.299999237060547,-40.58027267456055
104,1071,1958,-24.0,153.0,0.0,-52.9,-24.17027473449707,154.10000610351562,-38.948238372802734
105,1073,1958,-22.0,153.0,0.0,-44.2,-21.80089569091797,154.10000610351562,-39.77513122558594
106,1074,1958,-21.23,200.18,18.0,-39.375,-21.80089569091797,200.89999389648438,-32.847225189208984
107,1075,1958,-17.82,329.27,0.0,-56.0,-17.619958877563477,330.5,-32.276153564453125
108,1077,1958,-9.53,160.2,0.0,-16.45,-9.09841251373291,161.3000030517578,-46.60314178466797
109,1078,1958,-9.0,160.0,14.0,-57.7,-9.09841251373291,161.3000030517578,-46.60314178466797
110,1080,1958,-7.0,228.0,0.0,-36.5,-7.181866645812988,229.6999969482422,-55.74911880493164
111,1082,1958,-0.5,166.0,14.0,-49.875,-0.3001483976840973,164.89999389648438,-47.30987548828125
112,1083,1958,-0.5,270.0,1.0,-73.85714286,-0.3001483976840973,269.29998779296875,-61.12355041503906
113,1085,1958,5.0,230.0,0.0,-36.5,4.794660568237305,229.70150756835938,-56.88434982299805
114,1086,1958,19.58,235.0,0.0,-36.5,20.129465103149414,233.42784118652344,-31.353473663330078
115,1087,1958,36.4,237.0,0.0,-31.0,35.91789245605469,237.82632446289062,-49.656986236572266
116,1088,1958,38.4,219.3,0.0,-8.0,37.024818420410156,219.862548828125,-31.48871612548828
117,1089,1958,39.4,231.6,0.0,-27.0,39.20188903808594,230.9591064453125,-27.945159912109375
118,1090,1958,39.7,225.2,0.0,-27.0,39.71971130371094,223.77716064453125,-31.193614959716797
119,1091,1958,44.8,213.5,0.0,24.0,43.4278564453125,213.35208129882812,-33.535240173339844
120,1092,1958,48.7,230.0,0.0,-63.0,50.0465202331543,229.3990936279297,-26.890277862548828
121,1093,1958,49.2,223.9,0.0,-41.0,47.94423294067383,225.18484497070312,-30.130863189697266
122,1094,1958,49.2,224.9,0.0,5.0,47.94423294067383,225.18484497070312,-30.130863189697266
123,1096,1959,-22.0,153.0,0.0,-43.0,-21.80089569091797,154.10000610351562,-32.40990447998047
124,1097,1959,-21.23,200.18,18.0,-31.375,-21.80089569091797,200.89999389648438,-22.6109619140625
125,1098,1959,-17.82,329.27,0.0,-29.0,-17.619958877563477,330.5,-23.363292694091797
126,1100,1959,-9.53,160.2,0.0,-20.15,-9.09841251373291,161.3000030517578,-40.77714538574219
127,1101,1959,-9.0,160.0,14.0,-55.63636364,-9.09841251373291,161.3000030517578,-40.77714538574219
128,1104,1959,-0.5,166.0,14.0,-42.8,-0.3001483976840973,164.89999389648438,-42.546390533447266
129,1105,1959,-0.5,270.0,1.0,-67.0,-0.3001483976840973,269.29998779296875,-58.132171630859375
130,1107,1959,5.53,120.08,10.0,-79.0,5.611388683319092,121.6991958618164,-29.01565933227539
131,1108,1959,5.53,239.92,10.0,-75.0,5.532676696777344,240.50230407714844,-50.97347640991211
132,1109,1959,30.07,241.97,10.0,-13.0,30.14093589782715,240.995361328125,-36.355377197265625
133,1110,1959,30.45,242.2,10.0,-9.0,30.14093589782715,240.995361328125,-36.355377197265625
134,1111,1959,32.87,242.27,0.0,-53.5,32.92168426513672,241.17691040039062,-44.26091766357422
135,1112,1960,-42.05,70.75,0.0,-44.0,-43.10301971435547,71.30000305175781,-34.61605453491211
136,1113,1960,-37.85,84.75,0.0,-3.5,-37.68043899536133,85.69999694824219,-29.264808654785156
137,1114,1960,-36.3,98.68,0.0,-25.5,-37.68043899536133,100.0999984741211,-25.131046295166016
138,1115,1960,-33.35,72.7,0.0,-37.0,-32.10926055908203,71.30000305175781,-20.411609649658203
139,1116,1960,-24.0,153.0,0.0,-25.4,-24.17027473449707,154.10000610351562,-23.905038833618164
140,1117,1960,-23.93,73.88,0.0,-16.0,-24.17027473449707,74.9000015258789,-6.152927875518799
141,1118,1960,-23.92,73.88,0.0,-16.0,-24.17027473449707,74.9000015258789,-6.152927875518799
142,1119,1960,-23.0,64.17,0.0,-25.0,-24.17027473449707,64.0999984741211,-11.247575759887695
143,1121,1960,-21.23,200.18,18.0,-19.875,-21.80089569091797,200.89999389648438,-11.590301513671875
144,1122,1960,-18.82,88.55,0.0,-15.5,-19.614822387695312,89.30000305175781,-14.272928237915039
145,1123,1960,-17.82,329.27,0.0,-26.0,-17.619958877563477,330.5,-13.150632858276367
146,1125,1960,-17.25,63.83,0.0,27.5,-17.619958877563477,64.0999984741211,-19.893943786621094
147,1126,1960,-10.52,105.57,0.0,-27.0,-10.189502716064453,107.30000305175781,-33.21182632446289
148,1127,1960,-9.53,160.2,0.0,-22.5,-9.09841251373291,161.3000030517578,-34.88600158691406
149,1128,1960,-9.0,160.0,14.0,-50.2,-9.09841251373291,161.3000030517578,-34.88600158691406
150,1131,1960,-0.5,166.0,14.0,-37.77777778,-0.3001483976840973,164.89999389648438,-36.90546798706055
151,1132,1960,-0.5,270.0,1.0,-69.4,-0.3001483976840973,269.29998779296875,-55.29981994628906
152,1134,1960,7.05,201.37,0.0,-36.0,7.266182899475098,200.90451049804688,-43.73931884765625
153,1135,1960,8.23,203.37,0.0,-17.5,8.206068992614746,204.5067596435547,-41.88984680175781
154,1136,1960,10.65,204.07,0.0,-27.0,10.381848335266113,204.5138702392578,-36.52590560913086
155,1137,1960,15.7,204.63,0.0,-15.0,16.415964126586914,204.55746459960938,-13.043522834777832
156,1138,1961,-64.18,191.03,0.0,-122.0,-64.29602813720703,190.10000610351562,-98.33001708984375
157,1139,1961,-60.2,188.47,0.0,-73.0,-60.89152145385742,190.10000610351562,-73.12303924560547
158,1140,1961,-58.33,168.97,0.0,-60.0,-59.040523529052734,168.5,-83.02175903320312
159,1141,1961,-57.57,215.75,0.0,-55.0,-57.08583450317383,215.3000030517578,-54.192901611328125
160,1142,1961,-55.65,182.15,0.0,-52.5,-55.0246467590332,182.89999389648438,-52.27381134033203
161,1143,1961,-52.62,181.05,0.0,-35.5,-52.854923248291016,179.3000030517578,-50.94617462158203
162,1144,1961,-49.7,181.13,0.0,-43.5,-50.57574462890625,182.89999389648438,-35.99184799194336
163,1145,1961,-49.48,132.28,0.0,-29.5,-50.57574462890625,132.5,-38.025081634521484
164,1146,1961,-40.37,195.6,0.0,-13.0,-40.42521667480469,197.3000030517578,-11.095404624938965
165,1147,1961,-36.45,196.85,0.0,-13.0,-37.68043899536133,197.3000030517578,-6.968438625335693
166,1148,1961,-34.07,198.1,0.0,-25.0,-34.896331787109375,197.3000030517578,-2.707064151763916
167,1149,1961,-33.23,108.75,0.0,-10.0,-32.10926055908203,107.30000305175781,-7.194995880126953
168,1150,1961,-30.43,199.47,0.0,-7.5,-29.362506866455078,200.89999389648438,3.69107723236084
169,1151,1961,-26.48,199.45,0.0,-20.0,-26.701988220214844,200.89999389648438,2.9975175857543945
170,1152,1961,-24.68,204.75,0.0,-13.0,-24.17027473449707,204.5,1.4609098434448242
171,1153,1961,-24.0,153.0,0.0,-25.4,-24.17027473449707,154.10000610351562,-17.41480827331543
172,1155,1961,-22.0,153.0,0.0,-13.7,-21.80089569091797,154.10000610351562,-18.48655891418457
173,1156,1961,-21.23,200.18,18.0,-12.6,-21.80089569091797,200.89999389648438,-1.4498233795166016
174,1157,1961,-17.82,329.27,0.0,1.0,-17.619958877563477,330.5,-4.030346870422363
175,1159,1961,-9.53,160.2,0.0,-7.95,-9.09841251373291,161.3000030517578,-29.794157028198242
176,1160,1961,-9.0,160.0,14.0,-42.85714286,-9.09841251373291,161.3000030517578,-29.794157028198242
177,1163,1961,-0.5,166.0,14.0,-19.25,-0.3001483976840973,164.89999389648438,-31.584381103515625
178,1164,1961,-0.5,270.0,1.0,-63.25,-0.3001483976840973,269.29998779296875,-52.802146911621094
179,1166,1961,27.45,209.42,10.0,9.5,28.52336311340332,208.45533752441406,6.562590599060059
180,1167,1961,44.92,225.07,0.0,-10.0,45.307498931884766,224.62957763671875,10.970115661621094
181,1168,1961,44.92,225.08,0.0,22.0,45.307498931884766,224.62957763671875,10.970115661621094
182,1169,1962,-51.12,65.85,0.0,-43.25,-50.57574462890625,64.0999984741211,-48.27922439575195
183,1170,1962,-39.75,64.0,0.0,2.0,-40.42521667480469,64.0999984741211,-16.21919822692871
184,1171,1962,-37.93,87.63,0.0,-24.0,-37.68043899536133,89.30000305175781,-8.502483367919922
185,1172,1962,-34.18,105.82,0.0,12.5,-34.896331787109375,107.30000305175781,0.22780895233154297
186,1173,1962,-33.8,96.02,0.0,-34.0,-34.896331787109375,96.5,0.924229621887207
187,1174,1962,-30.5,61.88,0.0,-5.5,-29.362506866455078,60.5,9.275555610656738
188,1175,1962,-26.9,58.18,0.0,3.5,-26.701988220214844,56.900001525878906,6.3114166259765625
189,1177,1962,-22.0,57.5,0.0,28.0,-21.80089569091797,56.900001525878906,2.1582841873168945
190,1178,1962,-22.0,153.0,0.0,-13.7,-21.80089569091797,154.10000610351562,-8.53264331817627
191,1179,1962,-21.23,200.18,18.0,-6.0,-21.80089569091797,200.89999389648438,12.271523475646973
192,1180,1962,-17.82,329.27,0.0,-14.0,-17.619958877563477,330.5,8.310675621032715
193,1182,1962,-17.32,57.7,0.0,26.5,-17.619958877563477,56.900001525878906,-2.489447593688965
194,1183,1962,-13.68,59.7,0.0,22.5,-14.183194160461426,60.5,-5.257308483123779
195,1184,1962,-12.08,217.47,0.0,-15.0,-12.714468002319336,218.89999389648438,-17.801166534423828
196,1185,1962,-9.9,56.33,0.0,11.0,-10.189502716064453,56.900001525878906,-3.0826330184936523
197,1186,1962,-9.53,160.2,0.0,11.65,-9.09841251373291,161.3000030517578,-22.15069580078125
198,1187,1962,-9.0,160.0,14.0,-32.1,-9.09841251373291,161.3000030517578,-22.15069580078125
199,1189,1962,-5.9,63.78,0.0,-45.0,-5.535768032073975,64.0999984741211,-6.231367588043213
200,1190,1962,-5.87,55.0,0.0,49.0,-5.535768032073975,53.29999923706055,-4.507839679718018
201,1191,1962,-5.35,75.1,0.0,-41.5,-5.535768032073975,74.9000015258789,-9.832978248596191
202,1193,1962,-0.5,166.0,14.0,-20.6,-0.3001483976840973,164.89999389648438,-24.578332901000977
203,1194,1962,-0.5,270.0,1.0,-62.2,-0.3001483976840973,269.29998779296875,-48.411964416503906
204,1196,1962,8.27,70.62,0.0,-18.5,8.187995910644531,71.29288482666016,-0.44333934783935547
205,1197,1962,14.92,225.77,0.0,42.0,14.456531524658203,226.14398193359375,-1.2480616569519043
206,1198,1962,14.92,226.13,10.0,35.0,14.456531524658203,226.14398193359375,-1.2480616569519043
207,1199,1962,16.57,41.07,0.0,16.0,16.021785736083984,42.43872833251953,18.739818572998047
208,1200,1962,17.0,335.0,0.0,15.0,17.239028930664062,334.08184814453125,1.6556978225708008
209,1201,1962,20.67,38.22,0.0,1.0,19.93674087524414,38.77714157104492,26.005386352539062
210,1202,1962,24.47,131.42,0.0,33.0,23.779924392700195,132.4685516357422,7.239818572998047
211,1203,1962,27.17,140.0,0.0,45.0,26.65276527404785,139.6908721923828,3.730297088623047
212,1204,1962,27.18,140.0,0.0,64.0,26.65276527404785,139.6908721923828,3.730297088623047
213,1205,1962,30.27,147.82,0.0,49.5,29.726608276367188,146.9391326904297,-5.631566047668457
214,1206,1962,33.2,28.65,0.0,17.0,32.20088577270508,27.496524810791016,7.238030433654785
215,1207,1962,34.77,160.33,0.0,7.0,36.18673324584961,161.5764923095703,-20.52217674255371
216,1208,1962,34.78,160.33,0.0,23.0,36.18673324584961,161.5764923095703,-20.52217674255371
217,1209,1962,35.0,170.03,0.0,48.0,36.03891372680664,168.86778259277344,-17.70502281188965
218,1210,1962,35.0,210.0,0.0,-40.0,34.57255554199219,208.7887420654297,18.624900817871094
219,1211,1962,35.02,200.0,0.0,53.0,34.905250549316406,201.55746459960938,13.434052467346191
220,1212,1962,35.02,200.03,0.0,52.0,34.905250549316406,201.55746459960938,13.434052467346191
221,1213,1962,35.03,219.87,0.0,57.0,34.039676666259766,219.6116485595703,21.29387855529785
222,1214,1962,35.08,180.0,0.0,51.5,35.7398681640625,179.7889862060547,-9.6207857131958
223,1215,1962,35.77,189.77,0.0,37.0,35.357540130615234,190.68670654296875,1.6293525695800781
224,1216,1962,35.77,189.78,0.0,55.0,35.357540130615234,190.68670654296875,1.6293525695800781
225,1217,1962,40.67,5.8,0.0,15.0,40.597259521484375,5.296558856964111,4.346251487731934
226,1218,1963,-24.0,153.0,0.0,-6.7,-24.17027473449707,154.10000610351562,14.4575834274292
227,1220,1963,-22.0,153.0,0.0,21.0,-21.80089569091797,154.10000610351562,13.050675392150879
228,1221,1963,-21.23,200.18,18.0,4.333333333,-21.80089569091797,200.89999389648438,39.20018768310547
229,1222,1963,-17.82,329.27,0.0,17.0,-17.619958877563477,330.5,32.24909210205078
230,1224,1963,-11.42,242.5,0.0,46.0,-11.389202117919922,244.10000610351562,-2.501547336578369
231,1225,1963,-9.53,160.2,0.0,18.25,-9.09841251373291,161.3000030517578,-5.495905876159668
232,1226,1963,-9.0,160.0,14.0,-5.428571429,-9.09841251373291,161.3000030517578,-5.495905876159668
233,1229,1963,-0.5,166.0,14.0,-18.8,-0.3001483976840973,164.89999389648438,-11.062681198120117
234,1230,1963,-0.5,270.0,1.0,-51.75,-0.3001483976840973,269.29998779296875,-38.341461181640625
235,1232,1963,17.0,335.0,0.0,20.0,17.239028930664062,334.08184814453125,27.794479370117188
236,1234,1964,-22.0,153.0,0.0,43.0,-21.80089569091797,154.10000610351562,38.29562759399414
237,1235,1964,-21.23,200.18,18.0,32.0,-21.80089569091797,200.89999389648438,73.77815246582031
238,1236,1964,-17.82,329.27,0.0,6.0,-17.619958877563477,330.5,64.27979278564453
239,1238,1964,-16.37,198.18,0.0,11.5,-15.81311321258545,197.3000030517578,43.476341247558594
240,1239,1964,-11.42,202.5,0.0,25.0,-11.389202117919922,200.89999389648438,19.708038330078125
241,1240,1964,-9.53,160.2,0.0,32.65,-9.09841251373291,161.3000030517578,15.508532524108887
242,1241,1964,-9.0,160.0,14.0,7.333333333,-9.09841251373291,161.3000030517578,15.508532524108887
243,1242,1964,-5.87,55.0,0.0,29.0,-5.535768032073975,53.29999923706055,41.79525375366211
244,1244,1964,-1.97,49.33,0.0,19.0,-2.1236491203308105,49.70000076293945,36.949039459228516
245,1245,1964,-1.27,41.5,0.0,-4.0,-1.5078544616699219,42.5,49.241302490234375
246,1246,1964,-0.5,166.0,14.0,0.166666667,-0.3001483976840973,164.89999389648438,6.8634748458862305
247,1247,1964,-0.5,270.0,1.0,-45.8,-0.3001483976840973,269.29998779296875,-27.616859436035156
248,1249,1964,0.0,221.03,0.0,15.5,-0.3001483976840973,222.5,-35.61091613769531
249,1250,1964,2.0,45.63,0.0,-16.0,2.1228115558624268,46.0998649597168,52.49225997924805
250,1251,1964,2.12,55.07,0.0,40.0,2.1241273880004883,53.29986572265625,37.354469299316406
251,1252,1964,5.0,50.85,0.0,-8.0,4.7913055419921875,49.6984977722168,42.43803024291992
252,1253,1964,5.0,226.0,0.0,39.0,4.798009395599365,226.10150146484375,-16.700149536132812
253,1255,1964,10.0,227.0,0.0,33.5,10.290779113769531,226.11529541015625,25.24542808532715
254,1256,1964,10.23,53.02,0.0,23.0,10.27491283416748,53.28468704223633,31.951904296875
255,1257,1964,15.0,230.0,0.0,60.5,14.424505233764648,229.74400329589844,55.74059295654297
256,1258,1964,17.0,335.0,0.0,40.0,17.239028930664062,334.08184814453125,58.491825103759766
257,1259,1964,20.0,233.33,0.0,58.5,20.129465103149414,233.42784118652344,91.00985717773438
258,1260,1964,25.0,237.0,0.0,86.35,24.876808166503906,237.1571807861328,97.7622299194336
259,1261,1964,27.35,205.0,0.0,137.0,28.63780403137207,204.84738159179688,86.53604888916016
260,1262,1964,31.48,205.0,0.0,127.0,31.64864158630371,204.98785400390625,81.98976135253906
261,1263,1964,33.8,224.98,0.0,2.0,33.855777740478516,223.21304321289062,96.0042495727539
262,1264,1964,35.0,205.0,0.0,140.0,34.74160385131836,205.17471313476562,84.31851959228516
263,1265,1964,35.02,205.0,0.0,148.0,34.74160385131836,205.17471313476562,84.31851959228516
264,1266,1964,36.82,205.0,0.0,127.0,37.85829544067383,205.4170684814453,90.91067504882812
265,1267,1964,41.02,205.0,0.0,62.0,40.94867706298828,205.72422790527344,96.33493041992188
266,1268,1964,42.15,204.97,0.0,34.5,40.94867706298828,205.72422790527344,96.33493041992188
267,1269,1964,45.0,205.0,0.0,143.5,43.974693298339844,206.1057586669922,99.45333099365234
268,1270,1964,47.63,205.0,0.0,75.0,46.90984344482422,206.57183837890625,103.02758026123047
269,1271,1964,47.64,205.0,0.0,80.0,46.90984344482422,206.57183837890625,103.02758026123047
270,1272,1964,49.0,205.03,0.0,114.5,50.0676383972168,203.48318481445312,108.84320831298828
271,1273,1964,52.93,204.95,0.0,44.0,52.81013870239258,204.14495849609375,113.61741638183594
272,1274,1964,52.94,204.94,0.0,101.0,52.81013870239258,204.14495849609375,113.61741638183594
273,1275,1964,54.57,205.0,0.0,133.0,55.42576599121094,204.92823791503906,114.26651763916016
